Day,"Average Length"
2022-01-01,10.2500
2022-01-02,8.3333
2022-01-03,8.5000
2022-01-04,7.3333
2022-01-05,8.1667
2022-01-06,6.6667
2022-01-07,8.0000
2022-01-08,8.6667
2022-01-09,9.3333
2022-01-10,6.2500
2022-01-11,7.8889
2022-01-12,9.7778
2022-01-13,9.5000
2022-01-14,6.1667
2022-01-15,4.5000
2022-01-16,6.0000
2022-01-17,0.0000
2022-01-18,9.2727
2022-01-19,7.0000
2022-01-20,9.1429
2022-01-21,10.0000
2022-01-22,11.0000
2022-01-23,7.4286
2022-01-24,8.4286
2022-01-25,8.8333
2022-01-26,10.5556
2022-01-27,7.1111
2022-01-28,8.5789
2022-01-29,8.5714
2022-01-30,6.0000
2022-01-31,9.1818
2022-02-01,7.8571
2022-02-02,10.0000
2022-02-03,12.0000
2022-02-04,8.8000
2022-02-05,9.8000
2022-02-06,6.3750
2022-02-07,6.1667
2022-02-08,8.3333
2022-02-09,11.0000
2022-02-10,8.6250
2022-02-11,7.0000
2022-02-12,8.3125
2022-02-13,10.2857
2022-02-14,7.1667
2022-02-15,10.5714
2022-02-16,9.3333
2022-02-17,8.3333
2022-02-18,8.4286
2022-02-19,6.5714
2022-02-20,8.1250
2022-02-21,8.5000
2022-02-22,8.6000
2022-02-23,8.3333
2022-02-24,9.6000
2022-02-25,9.5000
2022-02-26,7.4615
2022-02-27,8.0000
2022-02-28,8.0000
2022-03-01,10.0000
2022-03-02,8.4444
2022-03-03,8.3000
2022-03-04,9.9000
2022-03-05,8.0714
2022-03-06,5.1429
2022-03-07,7.7273
2022-03-08,8.5556
2022-03-09,5.7500
2022-03-10,6.0000
2022-03-11,5.1667
2022-03-12,8.5455
2022-03-13,7.3529
2022-03-14,8.6250
2022-03-15,7.0000
2022-03-16,9.5882
2022-03-17,8.9500
2022-03-18,9.8182
2022-03-19,6.9286
2022-03-20,8.4375
2022-03-21,11.0000
2022-03-22,7.6000
2022-03-23,7.7500
2022-03-24,8.0000
2022-03-25,9.0714
2022-03-26,8.3750
2022-03-27,7.6667
2022-03-28,12.0000
2022-03-29,7.7778
2022-03-30,7.4286
2022-03-31,7.3333
2022-04-01,9.0625
2022-04-02,11.2000
2022-04-03,8.4375
2022-04-04,8.1111
2022-04-05,7.9524
2022-04-06,7.0526
2022-04-07,7.2727
2022-04-08,8.0000
2022-04-09,14.0000
2022-04-10,6.5000
2022-04-11,7.5000
2022-04-12,7.0000
2022-04-13,8.5385
2022-04-14,10.1667
2022-04-15,8.6000
2022-04-16,8.1429
2022-04-17,8.6667
2022-04-18,11.0000
2022-04-19,8.2667
2022-04-20,9.4000
2022-04-21,7.1667
2022-04-22,9.3333
2022-04-23,11.5000
2022-04-24,7.2143
2022-04-25,8.4545
2022-04-26,7.5714
2022-04-27,8.7143
2022-04-28,7.4545
2022-04-29,9.4000
2022-04-30,7.7500
2022-05-01,8.6364
2022-05-02,7.2857
2022-05-03,8.5000
2022-05-04,8.4000
2022-05-05,8.1667
2022-05-06,7.0000
2022-05-07,7.6667
2022-05-08,6.5000
2022-05-09,10.0000
2022-05-10,8.1250
2022-05-11,8.2500
2022-05-12,6.7500
2022-05-13,8.8889
2022-05-14,8.0000
2022-05-15,8.0000
2022-05-16,8.8333
2022-05-17,10.2000
2022-05-18,7.0000
2022-05-19,7.5000
2022-05-20,6.5000
2022-05-21,6.7857
2022-05-22,8.4286
2022-05-23,3.6667
2022-05-24,3.0000
2022-05-25,0.0000
2022-05-26,6.8750
2022-05-27,7.2857
2022-05-28,8.2000
2022-05-29,8.8889
2022-05-30,7.9048
2022-05-31,7.9286
2022-06-01,8.5714
2022-06-02,7.7500
2022-06-03,8.0755
2022-06-04,8.2245
2022-06-05,9.1852
2022-06-06,8.8000
2022-06-07,8.8750
2022-06-08,8.8966
2022-06-09,8.6154
2022-06-10,9.2609
2022-06-11,7.9333
2022-06-12,8.1111
2022-06-13,8.7805
2022-06-14,8.4800
2022-06-15,8.9643
2022-06-16,8.6944
2022-06-17,8.4694
2022-06-18,8.8438
2022-06-19,8.2222
2022-06-20,8.2600
2022-06-21,8.4634
2022-06-22,9.1842
2022-06-23,7.9348
2022-06-24,8.6552
2022-06-25,8.3621
2022-06-26,8.3636
2022-06-27,8.3099
2022-06-28,8.4928
2022-06-29,8.8000
2022-06-30,8.6055
2022-07-01,8.1441
2022-07-02,8.3162
2022-07-03,8.8144
2022-07-04,8.3810
2022-07-05,8.4265
2022-07-06,8.5600
2022-07-07,8.5224
2022-07-08,7.4930
2022-07-09,8.4030
2022-07-10,7.9000
2022-07-11,8.3889
2022-07-12,8.8537
2022-07-13,9.2286
2022-07-14,9.2500
2022-07-15,7.8333
2022-07-16,8.0938
2022-07-17,8.4918
2022-07-18,8.1935
2022-07-19,8.0588
2022-07-20,9.3333
2022-07-21,8.5870
2022-07-22,8.9412
2022-07-23,7.6522
2022-07-24,8.0476
2022-07-25,8.3333
2022-07-26,8.9155
2022-07-27,8.3721
2022-07-28,8.2188
2022-07-29,8.7188
2022-07-30,8.2759
2022-07-31,8.3000
2022-08-01,8.3659
2022-08-02,8.7568
2022-08-03,7.9024
2022-08-04,8.1569
2022-08-05,8.4524
2022-08-06,8.6364
2022-08-07,8.9429
2022-08-08,7.9787
2022-08-09,7.7556
2022-08-10,7.3556
2022-08-11,7.5278
2022-08-12,8.5122
2022-08-13,7.8205
2022-08-14,8.6250
2022-08-15,8.0000
2022-08-16,8.7941
2022-08-17,8.7200
2022-08-18,8.0862
2022-08-19,8.3448
2022-08-20,8.2676
2022-08-21,8.4167
2022-08-22,9.1290
2022-08-23,8.1892
2022-08-24,8.5588
2022-08-25,8.0000
2022-08-26,9.1034
2022-08-27,8.9355
2022-08-28,8.4500
2022-08-29,8.4333
2022-08-30,8.3559
2022-08-31,8.3281
2022-09-01,8.1429
2022-09-02,7.9254
2022-09-03,8.5250
2022-09-04,8.8049
2022-09-05,8.2391
2022-09-06,8.0652
2022-09-07,8.5962
2022-09-08,7.8788
2022-09-09,7.4474
2022-09-10,8.2051
2022-09-11,7.5652
2022-09-12,8.7000
2022-09-13,8.6316
2022-09-14,8.1395
2022-09-15,8.4091
2022-09-16,8.3065
2022-09-17,8.7414
2022-09-18,7.8511
2022-09-19,8.7231
2022-09-20,7.8630
2022-09-21,8.5128
2022-09-22,7.8596
2022-09-23,8.3929
2022-09-24,7.9531
2022-09-25,8.2903
2022-09-26,8.1053
2022-09-27,9.1579
2022-09-28,7.9623
2022-09-29,8.2273
2022-09-30,9.3256
2022-10-01,7.2895
2022-10-02,8.1429
2022-10-03,8.5385
2022-10-04,8.2333
2022-10-05,8.8966
2022-10-06,8.2500
2022-10-07,8.3043
2022-10-08,8.3429
2022-10-09,8.0725
2022-10-10,8.7581
2022-10-11,9.5833
2022-10-12,8.7073
2022-10-13,8.2941
2022-10-14,8.5075
2022-10-15,8.6027
2022-10-16,8.0500
2022-10-17,8.4186
2022-10-18,8.3684
2022-10-19,8.1628
2022-10-20,8.9318
2022-10-21,8.1136
2022-10-22,8.6170
2022-10-23,7.5435
2022-10-24,8.0000
2022-10-25,8.7179
2022-10-26,8.6389
2022-10-27,8.7333
2022-10-28,7.9767
2022-10-29,8.8889
2022-10-30,8.0800
2022-10-31,8.1571
2022-11-01,8.6232
2022-11-02,8.2500
2022-11-03,7.8200
2022-11-04,8.4194
2022-11-05,9.1452
2022-11-06,8.5556
2022-11-07,8.1186
2022-11-08,7.9333
2022-11-09,8.1351
2022-11-10,8.1389
2022-11-11,8.6364
2022-11-12,8.8889
2022-11-13,8.5600
2022-11-14,7.6279
2022-11-15,8.6939
2022-11-16,8.1017
2022-11-17,8.9726
2022-11-18,8.0145
2022-11-19,8.2833
2022-11-20,8.6000
2022-11-21,9.2093
2022-11-22,8.3171
2022-11-23,8.0000
2022-11-24,8.3906
2022-11-25,8.3115
2022-11-26,8.3704
2022-11-27,8.0588
2022-11-28,6.8913
2022-11-29,8.6571
2022-11-30,8.7097
2022-12-01,8.0000
2022-12-02,7.3667
2022-12-03,9.2000
2022-12-04,8.6444
2022-12-05,8.6364
2022-12-06,7.1786
2022-12-07,8.7077
2022-12-08,8.6719
2022-12-09,8.5672
2022-12-10,8.4762
2022-12-11,8.5306
2022-12-12,7.8276
2022-12-13,8.5926
2022-12-14,9.7857
2022-12-15,8.0625
2022-12-16,8.6889
2022-12-17,7.9189
2022-12-18,8.4400
2022-12-19,8.0500
2022-12-20,7.1429
2022-12-21,9.0000
2022-12-22,7.2105
2022-12-23,7.4000
2022-12-24,9.0000
2022-12-25,8.1373
2022-12-26,7.9375
2022-12-27,9.0370
2022-12-28,8.6429
2022-12-29,8.4590
2022-12-30,8.9091
2022-12-31,8.9318
